Kepler_ID,RA,Dec,Period,Transit_Depth,Duration
2439243,290.4745200,37.7666020,26.0203329,1164.4,4.965
2440757,290.8436900,37.7288280,1.433769925,1976.3,1.8868
2441151,290.9372600,37.7039720,2.192009479,1475.6,2.9453
2441161,290.9384500,37.7011720,2.192004364,99583.0,3.075
2441495,291.0218500,37.7697910,12.49340725,715.7,2.2614
2441728,291.0744600,37.7443890,0.856895349,82.2,1.3078
2442084,291.1601000,37.7611010,49.788613011,219219.0,7.41807
2442359,291.2231800,37.7815510,0.552834211,145.7,1.2887
2442448,291.2451800,37.7590600,76.6139446,498.7,10.22
2443393,291.4575500,37.7429350,73.711039,136.7,10.062
2444412,291.6833500,37.7515910,14.91095177,864.5,3.325
2445129,291.8489100,37.7135010,10.31872301,871.7,3.836
2445134,291.8497000,37.7386210,8.412008943,136113.0,5.41096
2445154,291.8538200,37.7419200,8.4120069,819.6,3.923
2445975,292.0309100,37.7735290,3.388887193,11267.8,2.4475
2446113,292.0567600,37.7761920,6.71725648,272.7,2.5207
2446113,292.0567600,37.7761920,23.1375919,114.0,3.35
2446134,292.0608200,37.7701910,39.1307086,201.0,2.295
2446623,292.1652800,37.7940480,175.06586091,45134.0,4.5181
2449053,292.6898500,37.7743610,0.73975345,481.8,4.2
2449074,292.6933000,37.7055130,4.94402197,363.3,4.062
2449090,292.6962900,37.7072370,4.944046127,112503.0,4.50334
2449101,292.6985500,37.7784810,0.739761008,292.1,7.589
2449245,292.7302600,37.7871820,18.1772927,213.1,4.703
2449431,292.7739900,37.7976910,86.74908069999999,547.1,9.179
2450716,293.0709800,37.7108990,1.38607973,64.6,8.699999999999999
2452289,293.4139100,37.7994920,6.0353643,47.2,9.211
2452440,293.4468700,37.7212100,8.097050621999999,65620.0,5.6736
2452450,293.4487900,37.7226410,8.0970583,680.7,5.699
2554853,286.0275000,37.8944700,309.494217,292.0,13.716
2555080,286.0947000,37.8467220,15.2024426,834.0,8.109999999999999
2556650,286.5942700,37.8912580,2.852348262,1402.9,0.7050999999999999
2557350,286.8191500,37.8590090,3.09872834,248.0,1.89
2557430,286.8452800,37.8158910,0.648868342,34769.5,2.82428
2557816,286.9639000,37.8297080,9.3789167,563.5,3.3427
2558163,287.0653400,37.8994790,17.543847,196.3,5.948
2558363,287.1338800,37.8392600,0.5462485500000001,639.7,2.0543
2558370,287.1359600,37.8383060,0.546248198,114528.0,2.1081
2568971,290.1088300,37.8452110,5.088582739,448.9,7.6066
2569488,290.1780700,37.8520390,1.52327807,924.2,3.813
2569494,290.1788300,37.8489490,1.523298835,195071.0,5.9083
2569516,290.1824000,37.8187600,45.5827119,76.5,3.193
2569995,290.2292500,37.8409610,80.84069,9326.0,8.567
2570432,290.2807900,37.8821720,1.89140138,557.6,9.52
2570505,290.2895500,37.8881680,1.89129338,33.8,5.677
2570767,290.3300200,37.8910290,1.89124453,31.0,5.08
2570773,290.3307200,37.8820920,1.8912851,1223.4,6.182
2571075,290.3873900,37.8202900,1.89134201,128.9,4.674
2571238,290.4208100,37.8517990,9.286964466000001,691.7,3.3649
2572029,290.6080600,37.8018910,6.0059966,39.2,3.096
2573056,290.8471400,37.8640520,0.631795416,145.2,1.0703
2573108,290.8615400,37.8854220,5.09506,23.6,5.73
2574201,291.1084600,37.8577920,37.4783492,1467.9,5.317
2574338,291.1384900,37.8592990,9.229613840000001,492.1,2.235
2574543,291.1876200,37.8535000,6.70258007,859.0,4.632
2576107,291.5231300,37.8876420,205.5833309,24872.0,6.0353
2576197,291.5409900,37.8165590,2.217038096,543.7,1.8575
2576197,291.5409900,37.8165590,8.874603,93.3,2.88
2576224,291.5462600,37.8177490,2.21701025,29.4,2.148
2576692,291.6430100,37.8142590,87.87826191000001,339056.0,12.8138
2576962,291.7005000,37.8437310,309.25581,421.4,10.72
2577353,291.7807900,37.8115080,60.458443,175.2,8.43
2578017,291.9141500,37.8078190,0.5925629690000001,1546.4,3.0869
2578811,292.0834400,37.8146780,6.2095391,47.9,2.752
2579043,292.1352500,37.8896220,6.31219171,403.7,4.9377
2580872,292.5285900,37.8100200,15.926632768,271858.0,7.42888
2581191,292.6002500,37.8320690,1.99042642,133.8,3.083
2581191,292.6002500,37.8320690,172.178768,501.0,1.19
2581316,292.6274700,37.8601420,217.83184293,9148.7,21.306
2581316,292.6274700,37.8601420,10.51421162,85.4,3.877
2581554,292.6902800,37.8349800,47.1484324,1113.8,3.1347
2582800,292.9523900,37.8571280,615.16033,267.1,3.958
2583777,293.1672700,37.8413890,0.958116585,2374.1,2.3496
2584163,293.2541200,37.8461910,14.5598556,290.6,5.624
2692377,285.6616500,37.9645000,1.541676547,296.5,1.9118
2693092,285.9048500,37.9280890,39.841522897,143685.0,8.790240000000001
2693736,286.1153600,37.9669990,12.12401737,788.4,3.3091
2694632,286.3733800,37.9190030,0.92225589,33.0,4.227
2695110,286.5242000,37.9854320,44.18938922,4293.5,6.8151
2696205,286.8984100,37.9374500,0.702739679,65.1,1.379
2696703,287.0574000,37.9913670,6.09406648,3027.0,2.085
2697169,287.2021500,37.9482500,14.71266408,,4.21
2697935,287.4678600,37.9666400,21.5135234,1583.8,77.983
2707097,290.0455300,37.9393840,0.692807507,25338.3,1.49242
2707916,290.2374600,37.9107210,1.89124738,410.0,4.697
2707985,290.2537500,37.9269100,1.89127438,32.3,4.491
2708156,290.2871100,37.9365080,1.891268461,641910.0,8.24958
2708172,290.2917500,37.9810790,1.89114441,49.9,8.724
2708203,290.2993200,37.9089320,1.89125855,67.9,5.415
2708221,290.3037100,37.9241910,1.8912501,731.0,7.648
2708270,290.3142700,37.9480090,1.89125883,274.5,4.656
2708278,290.3158900,37.9777790,1.89124187,105.8,4.415
2708286,290.3182700,37.9109800,1.89131005,155.6,5.687
2708343,290.3336200,37.9111710,1.8913182,202.3,4.374
2708420,290.3515300,37.9485700,1.89129881,82.0,5.294
2708445,290.3568400,37.9387590,1.89117723,176.2,6.986
2708614,290.4015800,37.9420090,52.884577,11969.0,7.892
2708885,290.4731100,37.9062000,1.146934644,256.2,1.7247
2710101,290.7663900,37.9168280,28.88008607,,1.35
2710623,290.8978300,37.9727780,1.02087831,33.4,2.429
2711114,291.0142200,37.9697110,1.429439352,3367.1,2.424
2711123,291.0152900,37.9677700,2.858879267,644.5,2.3753
2711131,291.0172700,37.9753680,2.85889907,55.7,1.465
2711597,291.1245400,37.9865110,0.98041685,105.7,0.919
2712825,291.3881200,37.9902190,18.384953,92.9,5.92
2713018,291.4325000,37.9361800,66.713573,63.9,4.487
2713049,291.4399700,37.9056590,2.539183147,382.1,2.4282
2715135,291.9032600,37.9022900,5.747711909,820.1,1.8923
2715695,292.0334800,37.9745480,4.09578199,405.5,1.704
2715695,292.0334800,37.9745480,7.55842923,361.1,2.91
2716801,292.2546400,37.9714200,42.5217006,685.6,5.723
2716801,292.2546400,37.9714200,9.4767057,230.5,3.893
2716853,292.2681300,37.9556390,18.82744023,1006.2,4.664
2716853,292.2681300,37.9556390,68.832195,678.1,3.31
2716979,292.2962600,37.9330600,8.8324193,74.1,2.252
2717158,292.3303500,37.9970590,13.2226149,261.7,4.337
2718778,292.6904000,37.9345700,3.92453009,463.5,3.691
2719873,292.9306000,37.9644200,17.279290765,164308.0,5.07591
2720309,293.0251200,37.9926410,0.413334492,2025.1,2.3808
2720354,293.0361000,37.9547390,2.821328194,64776.0,5.02692
2720514,293.0708000,37.9868700,1.371288853,66.2,1.4528
2720828,293.1406900,37.9944690,1.71659304,138.0,1.154
2721030,293.1845400,37.9698410,6.10027621,766.6,4.7476
2830919,285.4753400,38.0993610,1.54038914,71.8,1.683
2831055,285.5129400,38.0797390,2.20923119,59.8,2.392
2831251,285.5674700,38.0406910,5.81289843,76.3,3.979
2832589,286.0067400,38.0095410,10.84969477,1122.1,3.474
2832589,286.0067400,38.0095410,2.433703498,258.3,0.975
2833632,286.3191500,38.0863990,241.647602,361.7,1.742
2834463,286.5870100,38.0010800,5.88836941,119.9,1.05
2834805,286.7014500,38.0421910,25.0032023,64.1,5.498
2836076,287.1164900,38.0030520,528.07962334,,3.49
2837111,287.4440900,38.0884280,8.734885200000001,270.7,4.49
2837111,287.4440900,38.0884280,3.71840884,77.2,3.611
2849140,290.7332800,38.0072100,11.8237228,212.7,8.518000000000001
2849805,290.8846700,38.0575710,3.749105745,182.6,1.9826
2850321,290.9998200,38.0002590,25.2218929,,14.84
2851100,291.1706800,38.0085910,0.890110752,321.5,0.8774
2852528,291.4614900,38.0018080,11.9615433,424.5,3.129
2852560,291.4660300,38.0050390,11.961308501,310679.0,4.6414
2852810,291.5157500,38.0584180,93.05654364,,2.34
2852810,291.5157500,38.0584180,88.433122,120.4,2.392
2852810,291.5157500,38.0584180,282.34315,220.5,3.956
2852810,291.5157500,38.0584180,126.505657,95.5,8.836
2852941,291.5434300,38.0487590,2.89494709,45.8,3.254
2852941,291.5434300,38.0487590,11.57958162,,2.47
2853029,291.5647600,38.0745890,72.93327619999999,770.4,3.829
2853093,291.5791600,38.0358310,161.5278347,4653.6,3.6734
2853446,291.6509700,38.0281790,7.37290344,205.2,2.172
2853780,291.7291600,38.0700190,6.2141496,183.4,10.141
2853780,291.7291600,38.0700190,589.17968,253.4,10.2
2853828,291.7401700,38.0149120,1.077467951,75.7,2.1125
2853828,291.7401700,38.0149120,346.36642,148.2,14.94
2853889,291.7512800,38.0344310,24.1876477,194.8,2.654
